NmeComp,Timestamp,Value,Hour,Day
BoomCylinder_LD,2022-04-18 22:00:00,62.21,22,2022-04-18
BoomCylinder_LD,2022-04-18 23:00:00,63.614999999999995,23,2022-04-18
BoomCylinder_LD,2022-04-19 00:00:00,61.0,0,2022-04-19
BoomCylinder_LD,2022-04-19 01:00:00,59.94500000000001,1,2022-04-19
BoomCylinder_LD,2022-04-19 02:00:00,61.015,2,2022-04-19
BoomCylinder_LD,2022-04-19 03:00:00,60.635000000000005,3,2022-04-19
BoomCylinder_LD,2022-04-19 04:00:00,50.07,4,2022-04-19
BoomCylinder_LD,2022-04-19 05:00:00,45.085,5,2022-04-19
BoomCylinder_LD,2022-04-19 06:00:00,60.875,6,2022-04-19
BoomCylinder_LD,2022-04-19 07:00:00,57.214999999999996,7,2022-04-19
BoomCylinder_LD,2022-04-19 08:00:00,50.545,8,2022-04-19
BoomCylinder_LD,2022-04-19 09:00:00,61.529999999999994,9,2022-04-19
BoomCylinder_LD,2022-04-19 10:00:00,60.625,10,2022-04-19
BoomCylinder_LD,2022-04-19 11:00:00,56.275,11,2022-04-19
BoomCylinder_LD,2022-04-19 12:00:00,43.57,12,2022-04-19
BoomCylinder_LD,2022-04-19 13:00:00,61.239999999999995,13,2022-04-19
BoomCylinder_LD,2022-04-19 14:00:00,57.105,14,2022-04-19
BoomCylinder_LD,2022-04-19 15:00:00,46.845,15,2022-04-19
BoomCylinder_LD,2022-04-19 16:00:00,39.035000000000004,16,2022-04-19
BoomCylinder_LD,2022-04-19 17:00:00,32.34,17,2022-04-19
BoomCylinder_LD,2022-04-19 18:00:00,30.380000000000003,18,2022-04-19
BoomCylinder_LD,2022-04-19 19:00:00,29.360000000000003,19,2022-04-19
BoomCylinder_LD,2022-04-19 20:00:00,30.47,20,2022-04-19
BoomCylinder_LD,2022-04-19 21:00:00,56.470000000000006,21,2022-04-19
BoomCylinder_LD,2022-04-19 22:00:00,56.19500000000001,22,2022-04-19
BoomCylinder_LD,2022-04-19 23:00:00,52.17999999999999,23,2022-04-19
BoomCylinder_LD,2022-04-20 00:00:00,54.404999999999994,0,2022-04-20
BoomCylinder_LD,2022-04-20 01:00:00,60.029999999999994,1,2022-04-20
BoomCylinder_LD,2022-04-20 02:00:00,59.25,2,2022-04-20
BoomCylinder_LD,2022-04-20 03:00:00,59.364999999999995,3,2022-04-20
BoomCylinder_LD,2022-04-20 04:00:00,55.285000000000004,4,2022-04-20
BoomCylinder_LD,2022-04-20 05:00:00,59.925,5,2022-04-20
BoomCylinder_LD,2022-04-20 06:00:00,59.71999999999999,6,2022-04-20
BoomCylinder_LD,2022-04-20 07:00:00,52.96,7,2022-04-20
BoomCylinder_LD,2022-04-20 08:00:00,40.115,8,2022-04-20
BoomCylinder_LD,2022-04-20 09:00:00,52.529999999999994,9,2022-04-20
BoomCylinder_LD,2022-04-20 10:00:00,56.625,10,2022-04-20
BoomCylinder_LD,2022-04-20 11:00:00,54.089999999999996,11,2022-04-20
BoomCylinder_LD,2022-04-20 12:00:00,57.339999999999996,12,2022-04-20
