Parametro,Timestamp,Value,NmeComp
Temperature,12-Apr-2022 00:05:52,25.1,MainPumpP1
Temperature,12-Apr-2022 00:08:52,25.2,MainPumpP1
Temperature,12-Apr-2022 00:11:52,25.3,MainPumpP1
Temperature,12-Apr-2022 00:14:52,25.3,MainPumpP1
Temperature,12-Apr-2022 00:17:52,25.3,MainPumpP1
Temperature,12-Apr-2022 00:20:52,25.3,MainPumpP1
Temperature,12-Apr-2022 00:23:52,25.3,MainPumpP1
Temperature,12-Apr-2022 00:26:52,25.3,MainPumpP1
Temperature,12-Apr-2022 00:29:52,25.3,MainPumpP1
Temperature,12-Apr-2022 00:32:52,25.3,MainPumpP1
Temperature,12-Apr-2022 00:35:52,25.2,MainPumpP1
Temperature,12-Apr-2022 00:38:52,25.2,MainPumpP1
Temperature,12-Apr-2022 00:41:52,25.2,MainPumpP1
Temperature,12-Apr-2022 00:44:52,25.1,MainPumpP1
Temperature,12-Apr-2022 00:47:52,25.1,MainPumpP1
Temperature,12-Apr-2022 00:50:52,25.1,MainPumpP1
Temperature,12-Apr-2022 00:53:52,25.0,MainPumpP1
Temperature,12-Apr-2022 00:56:52,25.0,MainPumpP1
Temperature,12-Apr-2022 00:59:52,24.9,MainPumpP1
Temperature,12-Apr-2022 01:02:52,24.9,MainPumpP1
Temperature,12-Apr-2022 01:05:52,24.9,MainPumpP1
Temperature,12-Apr-2022 01:08:52,24.8,MainPumpP1
Temperature,12-Apr-2022 01:11:52,24.8,MainPumpP1
Temperature,12-Apr-2022 01:14:52,24.7,MainPumpP1
Temperature,12-Apr-2022 01:17:52,24.7,MainPumpP1
Temperature,12-Apr-2022 01:20:52,24.7,MainPumpP1
Temperature,12-Apr-2022 01:23:52,24.7,MainPumpP1
Temperature,12-Apr-2022 01:26:52,24.6,MainPumpP1
Temperature,12-Apr-2022 01:29:52,24.6,MainPumpP1
Temperature,12-Apr-2022 01:32:52,24.6,MainPumpP1
Temperature,12-Apr-2022 01:35:52,24.6,MainPumpP1
Temperature,12-Apr-2022 01:38:52,24.5,MainPumpP1
Temperature,12-Apr-2022 01:41:52,24.5,MainPumpP1
Temperature,12-Apr-2022 01:44:52,24.3,MainPumpP1
Temperature,12-Apr-2022 01:47:52,24.3,MainPumpP1
Temperature,12-Apr-2022 01:50:52,24.3,MainPumpP1
Temperature,12-Apr-2022 01:53:52,24.3,MainPumpP1
Temperature,12-Apr-2022 01:56:52,24.3,MainPumpP1
Temperature,12-Apr-2022 01:59:52,24.3,MainPumpP1
Temperature,12-Apr-2022 02:02:52,24.4,MainPumpP1
Temperature,12-Apr-2022 02:05:52,25.2,MainPumpP1
Temperature,12-Apr-2022 02:08:52,25.4,MainPumpP1
Temperature,12-Apr-2022 02:11:52,26.2,MainPumpP1
Temperature,12-Apr-2022 02:14:52,27.0,MainPumpP1
Temperature,12-Apr-2022 02:17:52,27.7,MainPumpP1
Temperature,12-Apr-2022 02:20:52,28.0,MainPumpP1
Temperature,12-Apr-2022 02:23:52,28.2,MainPumpP1
Temperature,12-Apr-2022 02:26:52,28.7,MainPumpP1
Temperature,12-Apr-2022 02:29:52,29.6,MainPumpP1
Temperature,12-Apr-2022 02:32:52,30.3,MainPumpP1
Temperature,12-Apr-2022 02:35:52,31.7,MainPumpP1
Temperature,12-Apr-2022 02:38:52,32.8,MainPumpP1
Temperature,12-Apr-2022 02:41:52,33.7,MainPumpP1
Temperature,12-Apr-2022 02:44:52,34.9,MainPumpP1
Temperature,12-Apr-2022 02:47:52,35.4,MainPumpP1
Temperature,12-Apr-2022 02:50:52,35.3,MainPumpP1
Temperature,12-Apr-2022 02:53:52,34.8,MainPumpP1
Temperature,12-Apr-2022 02:56:52,34.5,MainPumpP1
Temperature,12-Apr-2022 02:59:52,33.9,MainPumpP1
Temperature,12-Apr-2022 03:02:52,33.5,MainPumpP1
Temperature,12-Apr-2022 03:05:52,33.0,MainPumpP1
Temperature,12-Apr-2022 03:08:52,32.5,MainPumpP1
Temperature,12-Apr-2022 03:11:52,32.0,MainPumpP1
Temperature,12-Apr-2022 03:14:52,31.5,MainPumpP1
Temperature,12-Apr-2022 03:17:52,31.2,MainPumpP1
Temperature,12-Apr-2022 03:20:52,30.7,MainPumpP1
Temperature,12-Apr-2022 03:23:52,30.3,MainPumpP1
Temperature,12-Apr-2022 03:26:52,30.1,MainPumpP1
Temperature,12-Apr-2022 03:29:52,29.8,MainPumpP1
Temperature,12-Apr-2022 03:32:52,29.6,MainPumpP1
Temperature,12-Apr-2022 03:35:52,29.2,MainPumpP1
Temperature,12-Apr-2022 03:38:52,28.8,MainPumpP1
Temperature,12-Apr-2022 03:41:52,28.8,MainPumpP1
Temperature,12-Apr-2022 03:44:52,28.5,MainPumpP1
Temperature,12-Apr-2022 03:47:52,28.2,MainPumpP1
Temperature,12-Apr-2022 03:50:52,27.9,MainPumpP1
Temperature,12-Apr-2022 03:53:52,27.8,MainPumpP1
Temperature,12-Apr-2022 03:56:52,27.7,MainPumpP1
Temperature,12-Apr-2022 03:59:52,27.5,MainPumpP1
Temperature,12-Apr-2022 04:02:52,27.3,MainPumpP1
Temperature,12-Apr-2022 04:05:52,27.5,MainPumpP1
