Parametro,Timestamp,Value,NmeComp
Temperature,2024-04-12 00:32:16,24.7,MainPumpP1
Temperature,2024-04-12 00:35:16,24.7,MainPumpP1
Temperature,2024-04-12 00:38:16,24.7,MainPumpP1
Temperature,2024-04-12 00:41:16,24.6,MainPumpP1
Temperature,2024-04-12 00:44:16,24.6,MainPumpP1
Temperature,2024-04-12 00:47:16,24.6,MainPumpP1
Temperature,2024-04-12 00:50:16,24.6,MainPumpP1
Temperature,2024-04-12 00:53:16,24.6,MainPumpP1
Temperature,2024-04-12 00:56:16,24.5,MainPumpP1
Temperature,2024-04-12 00:59:16,24.5,MainPumpP1
Temperature,2024-04-12 01:02:16,24.5,MainPumpP1
Temperature,2024-04-12 01:05:16,24.4,MainPumpP1
Temperature,2024-04-12 01:08:16,24.4,MainPumpP1
Temperature,2024-04-12 01:11:16,24.4,MainPumpP1
Temperature,2024-04-12 01:14:16,24.4,MainPumpP1
Temperature,2024-04-12 01:17:16,24.3,MainPumpP1
Temperature,2024-04-12 01:20:16,24.4,MainPumpP1
Temperature,2024-04-12 01:23:16,24.3,MainPumpP1
Temperature,2024-04-12 01:26:16,24.3,MainPumpP1
Temperature,2024-04-12 01:29:16,24.3,MainPumpP1
Temperature,2024-04-12 01:32:16,24.3,MainPumpP1
Temperature,2024-04-12 01:35:16,24.3,MainPumpP1
Temperature,2024-04-12 01:38:16,24.3,MainPumpP1
Temperature,2024-04-12 01:41:16,24.2,MainPumpP1
Temperature,2024-04-12 01:44:16,24.2,MainPumpP1
Temperature,2024-04-12 01:47:16,24.2,MainPumpP1
Temperature,2024-04-12 01:50:16,24.2,MainPumpP1
Temperature,2024-04-12 01:53:16,24.2,MainPumpP1
Temperature,2024-04-12 01:56:16,24.2,MainPumpP1
Temperature,2024-04-12 01:59:16,24.1,MainPumpP1
AccelerationZ,2024-04-12 02:02:16,0.7,MainPumpP1
AccelerationY,2024-04-12 02:02:16,1.1,MainPumpP1
AccelerationX,2024-04-12 02:02:16,0.2,MainPumpP1
Temperature,2024-04-12 02:02:16,24.1,MainPumpP1
AccelerationY,2024-04-12 02:05:16,0.3,MainPumpP1
Temperature,2024-04-12 02:05:16,24.0,MainPumpP1
AccelerationX,2024-04-12 02:05:16,0.2,MainPumpP1
AccelerationZ,2024-04-12 02:05:16,0.2,MainPumpP1
Temperature,2024-04-12 02:08:16,23.7,MainPumpP1
AccelerationZ,2024-04-12 02:08:16,0.2,MainPumpP1
AccelerationY,2024-04-12 02:08:16,0.3,MainPumpP1
AccelerationX,2024-04-12 02:08:16,0.2,MainPumpP1
AccelerationZ,2024-04-12 02:11:16,0.2,MainPumpP1
Temperature,2024-04-12 02:11:16,23.7,MainPumpP1
AccelerationY,2024-04-12 02:11:16,0.3,MainPumpP1
AccelerationX,2024-04-12 02:11:16,0.2,MainPumpP1
Temperature,2024-04-12 02:14:16,23.6,MainPumpP1
Temperature,2024-04-12 02:17:16,23.7,MainPumpP1
Temperature,2024-04-12 02:20:16,23.8,MainPumpP1
AccelerationZ,2024-04-12 02:23:16,0.2,MainPumpP1
Temperature,2024-04-12 02:23:16,23.8,MainPumpP1
