Parametro,Value,NmeComp
Temperature,47.0,MainPumpP1
Temperature,45.5,MainPumpP1
Temperature,44.8,MainPumpP1
Temperature,43.8,MainPumpP1
Temperature,43.0,MainPumpP1
Temperature,42.2,MainPumpP1
Temperature,41.2,MainPumpP1
Temperature,40.6,MainPumpP1
Temperature,40.1,MainPumpP1
Temperature,39.8,MainPumpP1
Temperature,39.7,MainPumpP1
Temperature,38.7,MainPumpP1
Temperature,38.0,MainPumpP1
Temperature,37.4,MainPumpP1
Temperature,36.8,MainPumpP1
Temperature,36.5,MainPumpP1
Temperature,36.5,MainPumpP1
Temperature,36.0,MainPumpP1
Temperature,35.9,MainPumpP1
Temperature,35.6,MainPumpP1
Temperature,35.3,MainPumpP1
Temperature,35.0,MainPumpP1
Temperature,34.8,MainPumpP1
Temperature,34.6,MainPumpP1
Temperature,34.3,MainPumpP1
Temperature,34.1,MainPumpP1
Temperature,34.1,MainPumpP1
Temperature,33.8,MainPumpP1
Temperature,33.6,MainPumpP1
Temperature,33.4,MainPumpP1
Temperature,33.4,MainPumpP1
Temperature,33.2,MainPumpP1
Temperature,33.0,MainPumpP1
Temperature,32.8,MainPumpP1
Temperature,32.7,MainPumpP1
Temperature,32.5,MainPumpP1
Temperature,32.5,MainPumpP1
Temperature,32.4,MainPumpP1
Temperature,32.3,MainPumpP1
Temperature,32.1,MainPumpP1
Temperature,32.1,MainPumpP1
Temperature,31.9,MainPumpP1
Temperature,31.8,MainPumpP1
Temperature,31.7,MainPumpP1
Temperature,31.6,MainPumpP1
Temperature,31.4,MainPumpP1
Temperature,31.3,MainPumpP1
Temperature,31.1,MainPumpP1
Temperature,31.0,MainPumpP1
Temperature,30.9,MainPumpP1
Temperature,30.8,MainPumpP1
Temperature,30.7,MainPumpP1
Temperature,30.6,MainPumpP1
Temperature,30.5,MainPumpP1
Temperature,30.5,MainPumpP1
Temperature,30.4,MainPumpP1
Temperature,30.3,MainPumpP1
Temperature,30.2,MainPumpP1
Temperature,30.1,MainPumpP1
Temperature,30.0,MainPumpP1
Temperature,29.8,MainPumpP1
Temperature,29.9,MainPumpP1
Temperature,29.8,MainPumpP1
Temperature,29.7,MainPumpP1
Temperature,29.6,MainPumpP1
Temperature,29.6,MainPumpP1
Temperature,29.5,MainPumpP1
Temperature,29.5,MainPumpP1
Temperature,29.4,MainPumpP1
Temperature,29.3,MainPumpP1
Temperature,29.2,MainPumpP1
Temperature,29.2,MainPumpP1
Temperature,29.1,MainPumpP1
Temperature,28.9,MainPumpP1
Temperature,28.8,MainPumpP1
Temperature,28.7,MainPumpP1
Temperature,28.8,MainPumpP1
Temperature,28.8,MainPumpP1
Temperature,28.7,MainPumpP1
Temperature,28.7,MainPumpP1
Temperature,28.6,MainPumpP1
Temperature,28.5,MainPumpP1
Temperature,28.6,MainPumpP1
Temperature,28.6,MainPumpP1
Temperature,28.5,MainPumpP1
Temperature,28.4,MainPumpP1
Temperature,28.4,MainPumpP1
Temperature,28.3,MainPumpP1
Temperature,28.3,MainPumpP1
Temperature,28.2,MainPumpP1
Temperature,28.2,MainPumpP1
Temperature,28.1,MainPumpP1
Temperature,28.0,MainPumpP1
Temperature,28.0,MainPumpP1
Temperature,27.8,MainPumpP1
Temperature,27.7,MainPumpP1
Temperature,27.8,MainPumpP1
Temperature,27.7,MainPumpP1
Temperature,27.7,MainPumpP1
Temperature,27.6,MainPumpP1
Temperature,27.5,MainPumpP1
Temperature,27.4,MainPumpP1
Temperature,27.3,MainPumpP1
Temperature,27.3,MainPumpP1
Temperature,27.2,MainPumpP1
Temperature,27.2,MainPumpP1
Temperature,27.1,MainPumpP1
Temperature,27.0,MainPumpP1
Temperature,27.0,MainPumpP1
Temperature,26.9,MainPumpP1
Temperature,26.8,MainPumpP1
Temperature,26.8,MainPumpP1
Temperature,26.8,MainPumpP1
Temperature,26.8,MainPumpP1
Temperature,26.7,MainPumpP1
Temperature,26.7,MainPumpP1
Temperature,26.7,MainPumpP1
Temperature,26.7,MainPumpP1
Temperature,26.7,MainPumpP1
Temperature,26.7,MainPumpP1
Temperature,26.7,MainPumpP1
Temperature,26.7,MainPumpP1
Temperature,26.6,MainPumpP1
Temperature,26.6,MainPumpP1
Temperature,26.5,MainPumpP1
