Data;Hora UTC;TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C)
20/01/2024;1800 UTC;31,9;29,4
20/01/2024;1900 UTC;31,8;29,4
20/01/2024;2000 UTC;32,4;31,7
20/01/2024;2100 UTC;32,5;31
20/01/2024;2200 UTC;31,2;28,7
20/01/2024;2300 UTC;28,6;27,3
21/01/2024;0000 UTC;28,1;26,9
21/01/2024;0100 UTC;28,1;26,6
21/01/2024;0200 UTC;27;25,8
21/01/2024;0300 UTC;26,7;25,4
21/01/2024;0400 UTC;26;25,1
21/01/2024;0500 UTC;26;24,3
21/01/2024;0600 UTC;25,1;24
21/01/2024;0700 UTC;25,4;24,1
21/01/2024;0800 UTC;25,1;23,9
21/01/2024;0900 UTC;24,5;23,3
21/01/2024;1000 UTC;24,3;23,5
21/01/2024;1100 UTC;26,1;24,2
21/01/2024;1200 UTC;28,7;26,1
21/01/2024;1300 UTC;29,3;28,1
21/01/2024;1400 UTC;30,8;28,4
21/01/2024;1500 UTC;31,5;29,8
21/01/2024;1600 UTC;32,5;30,6
21/01/2024;1700 UTC;33,7;31,8
21/01/2024;1800 UTC;34,4;32,6
21/01/2024;1900 UTC;34,8;32,8
21/01/2024;2000 UTC;34,2;32,7
21/01/2024;2100 UTC;32,6;29,7
21/01/2024;2200 UTC;30,2;29,1
21/01/2024;2300 UTC;29,2;27,8
22/01/2024;0000 UTC;28,4;27,6
22/01/2024;0100 UTC;28,3;26,3
22/01/2024;0200 UTC;26,6;25,4
22/01/2024;0300 UTC;26,7;25,3
22/01/2024;0400 UTC;26,8;25,1
22/01/2024;0500 UTC;26;24,5
22/01/2024;0600 UTC;25,1;24,2
22/01/2024;0700 UTC;24,4;24
22/01/2024;0800 UTC;24,5;23,9
22/01/2024;0900 UTC;25,1;23,9
22/01/2024;1000 UTC;24,8;23,9
22/01/2024;1100 UTC;27,8;24,8
22/01/2024;1200 UTC;30,7;27,6
22/01/2024;1300 UTC;31,4;30
22/01/2024;1400 UTC;32,5;30,4
22/01/2024;1500 UTC;33,8;31,1
22/01/2024;1600 UTC;33,9;31,6
22/01/2024;1700 UTC;34,6;32,9
22/01/2024;1800 UTC;35;33,2
